#id  northing easting
5207 6097033 497128
5208 6097034 498629
5209 6097034 500129
5210 6098334 442378
5211 6098333 443879
5212 6098334 445379
5213 6098334 446879
5214 6098333 448379
5215 6098333 449878
5216 6098333 451378
5217 6098334 452878
5218 6098334 454378
5219 6098333 455878
5220 6098334 457378
5221 6098333 458879
5222 6098333 460379
5223 6098334 461879
5224 6098334 463379
5225 6098334 464879
5226 6098333 466379
5227 6098334 467879
5228 6098334 469379
5229 6098333 470879
5230 6098333 472378
5231 6098333 473878
5232 6098333 475378
5233 6098334 476878
5234 6098333 478378
5235 6098333 479878
5236 6098333 481378
5237 6098334 482878
5238 6098333 484378
5239 6098334 485878
5240 6098334 487378
5241 6098333 488878
5242 6098334 490378
5243 6098333 491878
5244 6098333 493378
5245 6098333 494878
5246 6098334 496378
5247 6098333 497878
5248 6098333 499378
5249 6098333 500878
5250 6099632 441628
5251 6099634 443126
5252 6099632 444628
5253 6099632 446128
5254 6099632 447626
5255 6099632 449128
5256 6099634 450628
5257 6099634 452126
5258 6099634 453628
5259 6099634 455128
5260 6099632 456626
5261 6099634 458128
5262 6099634 459628
5263 6099634 461126
5264 6099634 462627
5265 6099633 464128
5266 6099632 465628
5267 6099632 467126
5268 6099632 468628
5269 6099634 470128
5270 6099632 471626
5271 6099632 473126
5272 6099632 474628
5273 6099634 476128
5274 6099632 477626
5275 6099634 479127
5276 6099634 480628
5277 6099632 482128
5278 6099634 483626
5279 6099632 485127
5280 6099632 486628
5281 6099632 488128
5282 6099634 489626
5283 6099632 491126
5284 6099634 492628
5285 6099634 494128
5286 6099632 495626
5287 6099634 497126
5288 6099632 498628
5289 6099632 500128
5290 6099632 501626
5291 6100933 440878
5292 6100931 442376
5293 6100933 443878
5294 6100931 445378
5295 6100931 446876
5296 6100932 448378
5297 6100934 449878
5298 6100932 451378
5299 6100931 452877
5300 6100931 454376
5301 6100933 455878
5302 6100931 457376
5303 6100933 458878
5304 6100933 460376
5305 6100931 461878
5306 6100932 463376
5307 6100931 464878
5308 6100933 466376
5309 6100931 467878
5310 6100931 469376
5311 6100933 470878
5312 6100933 472376
5313 6100933 473878
5314 6100933 475376
5315 6100931 476878
5316 6100933 478376
5317 6100933 479878
5318 6100933 481376
5319 6100931 482878
5320 6100933 484376
5321 6100932 485878
5322 6100932 487376
5323 6100933 488878
5324 6100931 490376
5325 6100933 491878
5326 6100933 493376
5327 6100933 494878
5328 6100931 496376
5329 6100933 497878
5330 6100933 499376
5331 6100933 500878
5332 6100933 502376
5333 6102232 441626
5334 6102230 443126
